TimeStamp,B_x,B_y,B_z,B_net,CPU_load
2020/08/06 07:32:46.430,6,32,-17,37,61
2020/08/06 07:32:46.461,6,32,-17,37,43
2020/08/06 07:32:46.491,6,32,-17,37,37
2020/08/06 07:32:46.534,6,32,-17,37,57
2020/08/06 07:32:46.564,6,32,-17,37,35
2020/08/06 07:32:46.595,6,32,-17,37,38
2020/08/06 07:32:46.628,6,32,-17,37,62
2020/08/06 07:32:46.660,6,32,-17,37,84
2020/08/06 07:32:46.691,6,32,-17,37,58
2020/08/06 07:32:46.722,6,32,-17,37,63
2020/08/06 07:32:46.753,6,32,-17,37,50
2020/08/06 07:32:46.783,6,32,-17,37,43
2020/08/06 07:32:46.815,6,32,-17,37,40
2020/08/06 07:32:46.847,6,32,-17,37,102
2020/08/06 07:32:46.878,6,32,-17,37,60
2020/08/06 07:32:46.909,6,32,-17,37,43
2020/08/06 07:32:46.941,6,32,-17,37,51
2020/08/06 07:32:46.971,6,32,-17,37,32
2020/08/06 07:32:47.001,6,32,-17,37,41
2020/08/06 07:32:47.032,6,32,-17,37,33
2020/08/06 07:32:47.064,6,32,-17,37,34
2020/08/06 07:32:47.101,6,32,-17,37,44
2020/08/06 07:32:47.132,6,32,-17,37,44
2020/08/06 07:32:47.164,6,32,-17,37,68
2020/08/06 07:32:47.197,6,32,-17,37,83
2020/08/06 07:32:47.240,6,32,-17,37,85
2020/08/06 07:32:47.272,6,32,-17,37,80
2020/08/06 07:32:47.305,6,32,-17,37,53
2020/08/06 07:32:47.337,6,32,-17,37,65
2020/08/06 07:32:47.371,6,32,-17,37,69
2020/08/06 07:32:47.403,6,32,-17,37,52
2020/08/06 07:32:47.435,6,32,-17,37,37
2020/08/06 07:32:47.466,6,32,-17,37,37
2020/08/06 07:32:47.508,6,32,-17,37,47
2020/08/06 07:32:47.541,6,32,-17,37,46
2020/08/06 07:32:47.572,6,32,-17,37,38
2020/08/06 07:32:47.602,6,32,-17,37,21
2020/08/06 07:32:47.632,6,32,-17,37,38
2020/08/06 07:32:47.664,6,32,-17,37,41
2020/08/06 07:32:47.703,6,32,-17,37,93
2020/08/06 07:32:47.736,6,32,-17,37,90
2020/08/06 07:32:47.769,6,32,-17,37,81
2020/08/06 07:32:47.800,6,32,-17,37,39
2020/08/06 07:32:47.830,6,32,-17,37,31
2020/08/06 07:32:47.860,6,32,-17,37,35
2020/08/06 07:32:47.890,6,32,-17,37,20
2020/08/06 07:32:47.922,6,32,-17,37,59
2020/08/06 07:32:47.952,6,32,-17,37,57
2020/08/06 07:32:48.003,6,32,-17,37,35
2020/08/06 07:32:48.033,6,32,-17,37,39
2020/08/06 07:32:48.063,6,32,-17,37,41
2020/08/06 07:32:48.094,6,32,-17,37,21
2020/08/06 07:32:48.124,6,32,-17,37,47
2020/08/06 07:32:48.154,6,32,-17,37,41
2020/08/06 07:32:48.185,6,32,-17,37,70
2020/08/06 07:32:48.218,6,32,-17,37,55
2020/08/06 07:32:48.269,6,32,-17,37,25
2020/08/06 07:32:48.300,6,32,-17,37,64
2020/08/06 07:32:48.332,6,32,-17,37,94
2020/08/06 07:32:48.364,6,32,-17,37,82
2020/08/06 07:32:48.397,6,32,-17,37,103
2020/08/06 07:32:48.428,6,32,-17,37,56
2020/08/06 07:32:48.461,6,32,-17,37,72
2020/08/06 07:32:48.492,6,32,-17,37,68
2020/08/06 07:32:48.525,6,32,-17,37,74
2020/08/06 07:32:48.555,6,32,-17,37,72
2020/08/06 07:32:48.586,6,32,-17,37,65
2020/08/06 07:32:48.618,6,32,-17,37,68
2020/08/06 07:32:48.649,6,32,-17,37,85
2020/08/06 07:32:48.679,6,32,-17,37,60
2020/08/06 07:32:48.710,6,32,-17,37,54
2020/08/06 07:32:48.740,6,32,-17,37,28
2020/08/06 07:32:48.770,6,32,-17,37,39
2020/08/06 07:32:48.801,6,32,-17,37,41
2020/08/06 07:32:48.831,6,32,-17,37,40
2020/08/06 07:32:48.861,6,32,-17,37,26
2020/08/06 07:32:48.891,6,32,-17,37,22
2020/08/06 07:32:48.922,6,32,-17,37,28
2020/08/06 07:32:48.960,6,32,-17,37,32
2020/08/06 07:32:49.007,6,32,-17,37,60
2020/08/06 07:32:49.041,6,32,-17,37,70
2020/08/06 07:32:49.077,6,32,-17,37,83
2020/08/06 07:32:49.117,6,32,-17,37,64
2020/08/06 07:32:49.166,6,32,-17,37,79
2020/08/06 07:32:49.201,6,32,-17,37,77
2020/08/06 07:32:49.249,6,32,-17,37,87
2020/08/06 07:32:49.290,6,32,-17,37,84
2020/08/06 07:32:49.333,6,32,-17,37,75
